id,tamil,english
66, Ithuku  than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩',Ithuku than nalla tharamana directora venum ndrathu thalaiku yetha tharamana kadha 🥳🥳🥳🥳🥳🥳 bayangaram 🥳🥳🥳🥳🥳 pichitaru thala🤩🤩🤩🤩🤩' 
67, Last part music I love it',Last Part Music I Love It' 
68, Appedilaam nadekaathu nadake kudaathu The bulls eyes🤩',Appedilaam nadekaathu nadake kudaathu The bulls eyes🤩' 
69, Yellam great Ivarukaga theva ilama oru fight scene add paniruku padathula Unwanted adhe originality nalla irundhirukum avaruku Little disappointed',"Everything is great for him, an eight scene is unnecessary for his work and originality would have been good for him, he is a little disappointed.' "
70, Thala love you so much ummmmmmmmmma',Thala love you so much ummmmmmmmmma' 
71, Unga viwasatha kaata mathavangala yen avamana paduthureengathala for u thala bloods',"Why are you humiliating Madhavangala to show your peace, war and blues' "
72, Ajith sir in veru patta nadipuvera leval',Ajith sir is a different level of acting' 
73, Intha padam kandippa crime story aatha irukkum',This movie will definitely be a Grimm Story' 
74, Romba varusam kalichiajith annanalla padathula nadikiraru good luck',"After a long time, Ajith is acting in Annanalla. Good luck' "
75, From Karnataka kiccha  Sudeep fans like here',Prem karnataka kicha sudeep pals like tere' 
76, Trailer oda kadaisi dialogue Kola mass',Trailer OTA Last Dialogue Cola Mas' 
77, Ellam avan seyal movie madri iruku',Everything is due to his actions' 
78, Maaassssssooooooooo maaaassss thalaya ipti oru puthu role la paakrapa as a thala fan romba happy ah erukku',Maassssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss on the head in such a new role la pakraba as a head louse is very happy ah' 
79," Amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada', ""Mom, tell me the truth, don't think that this trailer is not good"" ",
80,  Rangaraj Pandey Avar nadikkala Avaroda velaya padathula seiraru',Rangraj Pandey is acting in his film and working with him' 
81, Thaaru maaru Thala ku Film Fare award confirm',Thaaru maru thala ku film pare is his kongfirm' 
82, Come on Thala fans beginning festival  Nerkonda paarvai',A look at Come One Balls paginating festival' 
83, Ellam iruku but ethoo miss aguthu that mass avlova illa',Everything is there but something is missing that mass is not there' 
84, Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala',Why are you ugly because you have learned to trust each other?' 
85, Romba nal kaluchi thalaya opening scene illama pakuran',I have been watching Kachi Thalaya opening scene for a long time' 
86, Yuvan da ivana minja Evan da',Ivan D. Ivana Mincha Ivan D' 
87, Ippidi nariya nariya nariya superb dialogue',This is a superb dialogue' 
88," Oruthar mela neenga viswasam kata Inoruthara neenga asinga paduthuringa Deep', ""You don't trust each other, and you lie down on each other"" ",
89, Padam nalla irukko illaiya but thala eppovum mass ahh irukkanum',"Whether the film is good or not, it should always be mass' "
90, Samaa superrr thala machans oru like podungha',Give a like to Sama Supertara Thala Machans' 
91, Niraya niraya niraya paer wait pannitirukkom thala',"Many, many, many people have weighed in' "
92, Thala mass dialogue class vera level',Thala mass dialog class is another level' 
93," THALA padama ITHU koothi maari iruku trailer Padam punda mathiri irukum pola', ""It's like a trailer movie, it's like a bunch of pictures"" ",
94, Ajith  hVinod Siva  h Raja',Ajit Havinoth Siva H Raja' 
95, Manushan epudi vanthalum tharama irukaru ya THALAAA This time CLASSY After a MASS VISWASAM',Manushan is always good this time classy abitare a mas viswasam' 
96, Last ah keta kelvipaaahhh semmaa thala',Lost ah keta semapahahha semma tala' 
97, Thala darisanum yenna charisma yenna English yenna alagzhu lion voice thala blood thala veriyan from Bangalore',Thala Darshanam What Sarisama What English What Alhuhu Line Voice Thala Blood Thala Hiniayan Prem Bangalore' 
98, Vera level thala marana mass thala I am waiting',Another level is death mass death' 
99, Appudila nadakathu Nadaka kudathu             Thala',Appudila nadakathu Nadaka kudathu Thala' 
100, Kerala Vikram fans like butten Adichu pottikku',Kerala Vikram Balls Like Putane Adichu for the match' 
101, Vikram he to best hi hogi',Vikram hi to best hi haji' 
102, Hollywood range la iruku padam Kandipa blockbuster hit Semma story',The film is in the Hollywood range and is a blockbuster hit story' 
103, Vechu senjutinga thalaiva  Padam marana mass Kandipa innoru vaati pakkanum',Vechu Senchutein Thalaiwa film is a death mass and must be watched again' 
104, Superb movie Vikram looks Mass Well made movie no lag',Superb Mowaye Vikram Look Mass White Matte Mowaye No Lock' 
105, Vikram looks just like he was in iru mugan Looks cool ',Vikram Look Just Like He Was This Two Mughan Look Cool' 
106, Vayase aagala pa ena effort chanceless 🤙',Vayase aagala pa ena effort chanceless 🤙' 
107, Die hard chiyaan fans like here',Die hard cyan balls like Tere' 
108, படம் எப்ப ரிலீஸ் When this movie  release',When this movie release' 
109, U kena tunggu lebih lama lagi untuk tau saya You have to wait longer to know me',U kena dhungu labih lama lagi unduk da saaya u how to wait longer to know me' 
110, omg Indian filmmaking is so embarassing xD',Omg Indian Filmmaking is so Embarrassing St' 
111, Vara vara gibran bgm la kalakkuran',Gibran mixes with Bhikkhu' 
112, Movie kab release hogi uska date fix batao',Mowaye coffee release haji ska date bis pada' 
113, Kuch samajh nai aaya  lekin dekh k acha laga',Kuch samajha nai aya legin dekh ke acha laga' 
114, Hollywood movie ka remek hain point blank ka',Hollywood Movie Remake Han Point Blonde' 
115, chiyan veriyan ivan pandiyan  street aruppukottai',Seian Khianiyaan Ivan Pandian Street Aruppukottai' 
116, Plzzzzzz sir ji hindi me bhi chahiye',Plsssssssss sir ji hindi me b sakiye' 
117, AR rahuman on board chiyaan vikram ',R Rahman One Board Seyan Vikram' 
118, k likes but just  unlikes only fr chiyaan',Gay Leaks But Just Unglix Only Other Seian' 
119, nenga vilaiyanadhuu enn kitte Ella yeman kittee',What you have done is for me' 
120, movie nadikiradhuku theramai thevai illai kaasu irundha podhum example  aksarahasan ',"Mowaye acting does not require talent, money is enough Example Aksara Haasan' "
121, Ivaruku vayasu agala vayasu koranchukitu iruku',He is very old' 
122," Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir', ""You are busy and I don't have Yemen only one dialogue is Enoch Sian life"" ",
123, you kena tunggu lama lagi kalau nak tau sayamalay punch dialogue',U kena tungu llama lagi punch dialogue without knock da' 
124, Vikram sir efforts are best but stunts scenes nenacha dhan bayama iruku',"Vikram Sir, I am afraid to think of Ebiports or Best Bud Stunts' "
125, Vikram Telugu fans hit like here',Vikram Telugu Pals Hit Like Tere' 
126, Vikram Hair StylePidichavanga Like Podunga Pa Naamalum Vaipom Future LeAndha Hair Style Le',Vikram hair style' 
127, you kena tunggu lama lagi untuk tosai ',U kena tungu lama lagi uduk dosa' 
128, Age is not a matter for vikram',Age is not a matter Por Vikram' 
129, Ethana peru ethu maari padathula ajith nadikanum nu nenaikuriga',Ajith will act in the film regardless of how many names are changed' 
130, Die HEARTfan of VikramSir   FROM Tollywood ',Die Hertabin OP Wickramasir Prem Tollywood' 
131, Kamal sir nenga vikrama vaithu marma yogi movie pannunga sir superrrrrrra irukkum',"Kamal sir, you can use Vikram and make him a mystic yogi. Sir, it will be great.' "
132, Hindi me kyo nhi late trailer',Hindi Me Kyo Nadi Letha Trailer' 
133, Vikram sir you will never get old',Vikram sir you will never get old' 
134, neenga vilayadnathu enkitte ille yaman kitte  chiyan vikram',Ille Yaman Kitte Siyan Vikram of the game' 
135, Trailer lam nalla irukku Aana padatha release panna maatringale pa',"The trailer is good, but if the film is released, it should be changed' "
136, Can i get k like for vikram sir',Can I get like Por Vikram sir' 
137, Iam from odisha   I am big fan of vikram sir',Inam prem odisha e ama big ban oppi vikram sir' 
138, Chiyanisam is  sema thookkal aaha',Zionism is semaphore'
139,  You Kene Tunggu Lama Lagi Untuk Tahu Saya  MALAYSIA LANGUAGE',U kane tungu lama lagi unduk datu saya malaysia language'
140, Very happy to see our lena lena chechi i love you umma umma umma',Very happy to you sir Lena Lena Sechi I love you Umma Umma Umma'
141, Chiyan vikram sirs   heavy  trailer',Ceyyan Vikram Sirus Hatchway Trailer'
142, Ippo Bigboss vetukulla vikrama anupe asega paduthuvan kamal',Now Kamal will send Vikrama to Bjibos house and ask Ashok'
143, mass chiyaan vikramyamaan daakk na yaruu',Mass Sian Vikramayaman Thaka Na Yar'
144, This man never gets old',This Soil Never Gets Old'
145," Why dont you make movie relies in hindi', ""We Don't You Make Moway Release In Hindi""",
146, Ita yavudu release panna udunga ya',Do you want to release the space?'
147, I am the chiyaan fan ta',E ama the sian ban th'
148, Chiyaan Vikram sir u r awesome siru have maintained good physique',Siyan Vikram sir ur awesome siru have minded good psue'
149,  LUV U  Chiyaan Vikram and LUV U DUKE',Love u Seian Vikram and Love u Duke'
150, Hindi me full movie rielij Karu',Hindi Me Beul Mowaye Religion Karu'
151, Indha trailera big bossla podanumnu ninaikkaravunga like pannunga',Like this trailer if you think it will be a big hit'
152, Vikram looks like splinter cell Sam Fisher',Vikram Look Like Splinter Cell Sam Psir'
153, അണ്ണൻ ഉയിർ  Love from  kerala 🥰',Annan Uyir Love from Kerala'
154, Next ulaga nayagan namma chiyan vikram thaan',The Nest World Champion is our Siyan Vikram'
155, chiyan vikram I and Aprichit movie fans like 🤘🤘',Chiyaan Vikram I and Aparichit movie fans like 🤘🤘'
156, Wow Vikram spoke Malay word “You kena tunggu lebih lama lagiuntil tahu saya” Wowww',Wow vikram spoke malay word “u kena thongu labih lama lajikundil datu saya” wwwww'
157, You kena tungu lebih lama lagi untuk tahu saya Vikram speak malay',U kena thongu labih lama lagi uduk datu chaya vikram chpeak malay'
158, Chiyan vikram sema style  waiting for kadaram kondan',Seiyaan Vikram took the baton in sema style'
159, Ghibran ku aaagavey padam hit aaganum',Guhyapran Ku Thutoya film should be a hit'
160, You kena tunggu lebih lama lagi untuk tahu saya   Masss Chiyaan',U kena sleep labih lama lagi uduk datu chaya mass seyan'
161, Is he like anit hero in this film But semaya iruku Chiyaan ipdi paaka',Is He Like Anit Hero In This Film But Semaiya Raku Siyan Ipti Pakka'
162," when i am seeing vikram here its like john wick', ""When e ama sealing Vikram Tere it's like John Vika""",
163, Vikram speak malayyou kena tunggu lebih lama lagi untuk tahu saya',Vikram Chbeak Malayayu kena thongu labih lama lagi unduk datu saya'
164, Itha paaka transporter Tamil remake maari iruku',This is a Tamil remake of Pak Transporter'
165, You kena tungu lama lagi mahu jumpa sayalast malay language',U kena tungu lama lagi mah zumba sailast malay language'
166, Vikram sir ella costumum ella characterum Unga orutharuku thaan suit akum',"Vikram sir, all the costume and all the care is only for you'"
167, U kena tunggu lebih lama lagi  Untuk tahu saya ',U kena sleep labih lama lagi uduk datu saya'
168, Meaning of kadaram kondan is king of Malaysia',Meaning OP Kataram Kondan is King OP Malaysia'
169,  gibran Vera level',Kibron is on another level'
170, Trailer pakka super ah iruku but Rajesh neenga edhutha thungavanam padatha patha dha bayama iruku',The trailer side is super ah but Rajesh you are scared of the film.'
171," Enda nala name ipdi veenaku reemga kadaramkondan enapathu evlo Periya maveeranoda name fuck', ""Why is it that we are playing the lute with such a great hero's name?""",
172, Hindi version bhi sath aa jaye to mza aa jaye',Hindi versin b sat aa jaye du masa aa jaye'
173, Still acting like a youngsterChiyaan Vikram',Still Acting Like A Youngsterchian Vikram'
174, Vera level getup last minute super bro',"Asking for another level, last minute super pro'"
175," Konjam Irumugan Madhiri irukkuAll the bestteam', ""It's a bit like two faces, not The Best Team""",
176, U kena tungu lebih Lama lagi untuk tau saya',U kena sleep labih lama lagi uduk da saya'
177, Super Hit Trailer Love From pakistan Chiyaan Vikram Sir FanS Hit Like Here',Super Hit Trailer Love Frame Pakistan Seyan Vikram Sir Pals Hit Like Tere'
178, Chiyaan  semma   Love from kerala',Syan Semma Love Frame Kerala'
179, Vikramuku Indha padam hit kodukum accept pannuravunga like pannunga',Like and assist Vikram to make this movie a hit'
180, Hindi mein bhi release karo movie',Hindi Main B Release Garo Mowaye'
181, Enth look aado oru raksha ella',My Look Ado is not a raksha'
182, Dia kena tunggu lame lg utk tau saya hhahahahaha',Thia kena sleep lame luff utka da saya hahahahaha'
183, You kena tunggu lebih lama lagi untuk tahu saya Who heard this Malaysians',U kena thongu labih llama lagi uduk datu saya wato heartu this malaysians'
184," Missed shruti hassans kadam kondam song', ""Michetu Shruti Hassan's Kadam Kondam Chong""",
185, I like Vikram sirl want to see him in a joker like character',E Like Vikram Cyril Want To See Him In A Joker Like Character'
186, Solid trailer Hindi mein bhi release kar do dub karke Chiyaan vikram fans like here ',Tella Trailer Hindi Main B Release Cut To Dub Karke Seyan Vikram Pals Like Tere'
187, All d best from all Kannadigas',All the best frame by mirrorkus'
188, Kadaram Enna karumam da idhu 🤧 FLOP ',Kadaram Enna karumam da idhu 🤧 FLOP'
189, Plz hindi me v dubbed kijiye   For We all hindi fan plzzzzzzzzzz',Plz hindi me v dubbed kijiye For We all hindi fan plzzzzzzzzzz'
190, wow Is Movie Million   View k Like Best luck Bikram Sir Fan Likr Here',Wow Is Mowaye Million Vv K Like Best Luck Bikram Sir Ban Likar Tere'
191, but i want karikalachozhan also',But I want Karikalacholan also'
192, Ethirpartha alavukku illabgm mattama irukku Why ghibran🤦\u200d🤦\u200d',Ethirpartha alavukku illabgm mattama irukku why ghibran🤦\u200d🤦\u200d'
193, Super super super super super super super Vikram variyan da',Super Super Super Super Super Super Vikram Fanatic'
194," Ama Inga enga Kamal Hassan ah kanom', ""Oh, where is Kamal Haasan? Let's see""",
195, Yen pa idu trending la elha',Why is it trending?'
196, Dei Vikram ku trailer mattum nalla pannuvanga daAna Padam mokkiya irukum',Dey Vikram Ku trailer alone will be important if the movie is good'
197, Chiyaan Vikram die hard fans like here',Siyan Vikram Die Hard Balls Like Tere'
198, diehard fan of chiyaan vikram',Diehard Bane OP Seyan Vikram'
199, Vaasu yaar adhu aiyo namma mind shruthi hassan pakkam podhe',"Who is Vasu? Alas, our mind goes to Shruti Haasan'"
200, खान तो बहुत थे पर खिलाड़ी बस एक है। the one and only mr Akshay kumar',खान टो भाथ थे पर कहाली बस एक है the one and only mr akshay kumar'
201," sankar sir fans hit like here', ""Shankar Sir Paul's Hit Like Tere""",
202, Semma semma CG AND SEMMA BACKGROUND',Semma Semma Siki and Semma Buckground'
203, Super but Not like to see Hollywood level',Super but not like to C Hollywood level'
204, INDIAS BIGGEST MOVIE INDIAS BIGGEST STARS SUPER STAR RAJINI KANTH SUPER STAR AKSHAY KUMAR',Indias PGcast Mowaye Indias PGcast Stars Superstar Rajinikanth Superstar Akshay Kumar'
205, Ithella ennada hollywood pado enga aalu siva etuthaaru paarraa vivegam pado athu maari oru pado ungalaala etukka mudiyuma aa',"This is not Hollywood, where did Siva take the man?'"
206, CHITTI RELOADED   EXPECTATION OVERLOADED',CITY RELOADED SPECTATION VERLOADED'
207, Appo  phone ai thatti vitta  sivakumar kandippa akshay kumar oda sleeper cell dhaan',Then Sivakumar who tapped the phone was Akshay Kumar OTA sleeper cell'
208, All best to  from kannadigassuper star rajani sir',All the best to Prem Ghimkassuber star Rajini sir'
209, Heat like for Akshay and Rajnikant',Akshay and Rajinikanth fight like heat'
210, Trailer na  ipdi irukanum Maasssssss',The trailer is like this'
211, Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum',Otha Semma happy daa 🤘 Oru payyen kitte nerunga mudiyadhu Otha haters vaai mudidum'
212, Tamil cinema  vera level la irukku marana mass trailer',Tamil cinema is on a different level with Marana Mass trailer'
213, Mind it Love u rajani sir Love u akshay sir',Mint it love u Rajini sir love u Akshay sir'
214, Real King Of Indian Cinema Akshay Kumar',Akshay Kumar is the real king of Indian cinema'
215, Irukku padathula neraya transformers and terminator kadha irukku',There is a lot of Transformers and Terminator story in the film'
216, Jaldi se hindi version mai release karo yar',Geladi Se Hindi Verses Mai Release Karo Yar'
217, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
218, Mairu mari iruku trailer idhuku teaser thevalam',The trailer is changing and may need a teaser'
219, VFX mokka Daww sollitu oru group suthittu irukkanunga',A group has formed by saying VS Mokka Dove'
220,    TOH    ZERO  WHO WILL WIN',Doh zero vado villa vin'
221, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
222, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
223, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
224, Semma trailer Hollywood movie trailer pakara mari ruku',Semma Trailer Hollywood Mowaye Trailer Pakara Mary Ruku'
225, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
226, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
227, Otha Teaser appo vfx mokkanu pesna dubakuru pasangala ippa vandhu pesunga da paapohm',Otha Teaser Apo VS Mokainu Pachuna Dubakuru Basangala Now Come Talk Da Baboh'
228, A big like from Mumbai',A Big Like Prem Mumbai'
229, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
230, Rajini sir Shankar and akshay Kumar sir hats off vyara level',Rajini Sir Shankar and Akshay Kumar Sir Thats Off Wireai Level'
231, Graphics sari illa nu solrathukune oru gang suthum parunga',"Just to say that the graphics are not good, take a look'"
232, Bollywood wale yaha hagne na aye',Bollywood wale yada akne na aye'
233, Teaser la irundhadha apdiye trailer la potrukingaavlo lam nalla ila So sad',"What was in the teaser, but the trailer is a good shot.'"
234, What a trailer indian cinema va vera level ku kondupoga poguthu intha film Akshay kumar vera level Superstar',What a trailer is going to take Indian cinema to another level. This film Akshay Kumar is another level superstar.'
235, Looks like power rangers spd emergency',Look Like Power Rangers Spit Emergency'
236, Biggest Fan Of Akshay Kumar From Australia Hit Like For Superstar Rajinikant  Superstar Akshay Kumar',PGKest Pan Opi Akshay Kumar Prem Australia Hit Like Por Superstar Rajinikanth Superstar Akshay Kumar'
237, Thalapathy fans like Sarkar diwali like here',Thalapathy Pals like Sarkar Diwali like Tere'
238, Super Star soldra WOOOW Vera Level la iruku superrrrrb',Superstar is on a different level'
239, Video game trailer or movie trailer RRR fans like here',Video Game Trailer Or Mowaye Trailer Rrr Pals Like Tere'
240," Hollywood movie vida vera level la eruku sir  Shankar sir its awesome', ""It's on a different level than Hollywood, sir Shankar, it's awesome""",
241, Dei Antha Paravaya paathale mersal ah irruku da',"If you see that bird, Mersal is there'"
242, Last gun sound in headphone ku ku',Lost gun sound in headipone ku ku'
243, ONE WORD  MASTERPIECE  THANKYOU SHANKAR SIR FOR VFX TREAT',Onnu vard mustepisa thankyou shankar sir por vbis teat'
244, Power rangers maadhiri eduthu vachirukinga',Take it like Power Rangers'
245, Im Chitti  Reloaded version ',Im city reloated worsin'
246, Wow semma mass varthaiye illa therikkuthu',Wow semma mas no word terukuthu'
247, Superstar Akshay Kumar  Superstar Rajinikant Fans Hit Like Support All The Version',Superstar Akshay Kumar Superstar Rajinikanth Balls Hit Like Support All The Verses'
248," Omg omg Mindblowing Awesome Enaku solla varthee varala Avloo super', ""Omg Omg Myndabeloving is awesome don't tell me she's super""",
249, Mokka ah irukkum nu confirn pannittenga',"Mokka Ah is there, so make Konabran'"
250, Enna Da Bomma padam maathiri irukuthu',What da doll looks like a picture'
251, Sema  Tamil cinema Into a Next level',Sema Tamil Cinema Indo A Nest Level'
252, concrete suvara odachittu pora alavu entha companyda mobile vachirukanga enaku oru mobile venum',I want a mobile phone from any company that is big enough to cover the wall.'
253, Irungada  Nalla rewind panni pathukuren  Ethe pakanumnu terle beyond words ',Bayonetta Ortuz in Teri'
254, The long wait is over Thalaivaaaaaa ',The long wait is over'
255, Vera level Thalaivar AR rahman',Another level leader is R Rahman'
256, virtual reality la uta naangalum veetlayey d la papom la ',We will also be living in the house with the evictions in reality'
257, Waiting to see this on screen fdfs but thalaivar padatha enaiku fdfs olunga paakurathuku but enna aanalum naan paapen',Within to c this one suyin ptips but the leader created me in the grip to see properly but what but I will pop'
258," Akshay kumar voice kevalama iruku tamil version la', ""Akshay Kumar's voice is horrible in Tamil Verse""",
259, Anyone here after zero',Anyone Tere Abidere Zero'
260, Vera level da daiiiiiii Marana mass',Another level is the death mass'
261," Wow Ak is looking Very dangerous ', ""Wow that's looking very tangerous""",
262, Ek building aur ek fieldpe hi puri film dikha diyalol',Ek pooviding r ek pldppe hi puri film tika dialol'
263, RIP Baahubali  CRORE movie loading ⃣⃣',RIP Baahubali CRORE movie loading ⃣⃣'
264," Super star fans hit like here', ""Superstar Paul's Hit Like Tere""",
265, Super star Rajini fans hit like',Superstar Rajini Pals hit like'
266, Sema look VFXvara lavel  iam thalapathi veryan',sema look vswra level im commander fanatic'
